KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afar-culture-num1;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;x
dynamic-al_suryah_arabic-culture-num1;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;x
dynamic-al_suryah_arabic-culture-num2;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;x
dynamic-al_suryah_arabic-culture-num3;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;x
dynamic-al_suryah_arabic-culture-num4;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;x
dynamic-andalucian-culture-num1;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;x
dynamic-armenian-greek-culture-num1;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;x
dynamic-assamese-culture-num1;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;x
dynamic-assamese-culture-num2;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;x
dynamic-avadhi-culture-num1;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;x
dynamic-avadhi-culture-num2;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;x
dynamic-bavarian-culture-num1;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;x
dynamic-bavarian-culture-num2;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;x
dynamic-bedouin_arabic-culture-num1;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;x
dynamic-bedouin_arabic-culture-num2;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;x
dynamic-bedouin_arabic-somali-culture-num1;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;x
dynamic-berber-fulani-culture-num1;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;x
dynamic-bolghar-culture-num1;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;x
dynamic-bolghar-mordvin-culture-num1;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;x
dynamic-bolghar-uralic-culture-num1;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;x
dynamic-buryat-culture-num1;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;x
dynamic-buryat-kirgiz-culture-num1;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;x
dynamic-castillian-croatian-culture-num1;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;x
dynamic-chihan-tangut-culture-num1;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;x
dynamic-cosmopolitan_french-swabian-culture-num1;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;x
dynamic-cuman-culture-num1;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;x
